Run,Question,Provider,Temperature,System Prompt,Correct,Latency,Generated_Response
1,0,openai,0.0,Control Prompt,0,0.751981258392334,1
1,1,openai,0.0,Control Prompt,1,1.3616509437561035,3
1,2,openai,0.0,Control Prompt,1,0.4076988697052002,3
1,3,openai,0.0,Control Prompt,1,0.41162991523742676,2
1,4,openai,0.0,Control Prompt,1,0.5108082294464111,1
1,5,openai,0.0,Control Prompt,1,0.26867008209228516,4
1,6,openai,0.0,Control Prompt,1,0.3433248996734619,2
1,7,openai,0.0,Control Prompt,1,0.3258631229400635,1
1,8,openai,0.0,Control Prompt,1,0.30005407333374023,4
1,9,openai,0.0,Control Prompt,1,0.3959498405456543,4
1,10,openai,0.0,Control Prompt,1,0.5111732482910156,1
1,11,openai,0.0,Control Prompt,0,0.717400074005127,1
1,12,openai,0.0,Control Prompt,1,0.4061610698699951,3
1,13,openai,0.0,Control Prompt,0,0.5105381011962891,2
1,14,openai,0.0,Control Prompt,1,0.30312204360961914,3
1,15,openai,0.0,Control Prompt,1,0.3081221580505371,3
1,16,openai,0.0,Control Prompt,1,0.4107670783996582,4
1,17,openai,0.0,Control Prompt,0,0.4089820384979248,2
1,18,openai,0.0,Control Prompt,1,0.3056812286376953,1
1,19,openai,0.0,Control Prompt,1,0.3288109302520752,4
1,20,openai,0.0,Control Prompt,1,0.2823219299316406,1
1,21,openai,0.0,Control Prompt,1,0.4514031410217285,3
1,22,openai,0.0,Control Prompt,1,0.3686079978942871,2
1,23,openai,0.0,Control Prompt,1,0.712421178817749,2
1,24,openai,0.0,Control Prompt,0,0.40978384017944336,3
1,25,openai,0.0,Control Prompt,1,0.3057577610015869,3
1,26,openai,0.0,Control Prompt,1,0.4092369079589844,1
1,27,openai,0.0,Control Prompt,1,0.3218240737915039,3
1,28,openai,0.0,Control Prompt,1,0.49627089500427246,3
1,29,openai,0.0,Control Prompt,1,0.4343240261077881,4
1,30,openai,0.0,Control Prompt,1,0.48442983627319336,2
1,31,openai,0.0,Control Prompt,1,0.29098081588745117,4
1,32,openai,0.0,Control Prompt,0,0.42377686500549316,3
1,33,openai,0.0,Control Prompt,1,0.38565611839294434,4
1,34,openai,0.0,Control Prompt,1,0.42917704582214355,1
1,35,openai,0.0,Control Prompt,1,0.5083341598510742,1
1,36,openai,0.0,Control Prompt,1,0.5129828453063965,2
1,37,openai,0.0,Control Prompt,1,0.4072611331939697,2
1,38,openai,0.0,Control Prompt,1,0.41045188903808594,4
1,39,openai,0.0,Control Prompt,1,0.4553191661834717,1
1,40,openai,0.0,Control Prompt,1,0.40726590156555176,2
1,41,openai,0.0,Control Prompt,1,0.7337899208068848,2
1,42,openai,0.0,Control Prompt,1,0.44724202156066895,3
1,43,openai,0.0,Control Prompt,1,0.40775012969970703,2
1,44,openai,0.0,Control Prompt,1,0.510826826095581,4
1,45,openai,0.0,Control Prompt,1,0.2807939052581787,1
1,46,openai,0.0,Control Prompt,1,0.4334440231323242,1
2,0,openai,0.0,Control Prompt,0,0.4068899154663086,1
2,1,openai,0.0,Control Prompt,1,0.3785257339477539,3
2,2,openai,0.0,Control Prompt,1,0.43402862548828125,3
2,3,openai,0.0,Control Prompt,1,0.6151659488677979,2
2,4,openai,0.0,Control Prompt,1,0.5097100734710693,1
2,5,openai,0.0,Control Prompt,1,0.307689905166626,4
2,6,openai,0.0,Control Prompt,1,0.40724897384643555,2
2,7,openai,0.0,Control Prompt,1,0.2684600353240967,1
2,8,openai,0.0,Control Prompt,1,0.34264087677001953,4
2,9,openai,0.0,Control Prompt,1,0.30885767936706543,4
2,10,openai,0.0,Control Prompt,1,0.5092310905456543,1
2,11,openai,0.0,Control Prompt,0,0.37986302375793457,1
2,12,openai,0.0,Control Prompt,1,0.39188599586486816,3
2,13,openai,0.0,Control Prompt,0,0.3631618022918701,2
2,14,openai,0.0,Control Prompt,1,0.39086174964904785,3
2,15,openai,0.0,Control Prompt,1,0.4129626750946045,3
2,16,openai,0.0,Control Prompt,1,0.41042399406433105,4
2,17,openai,0.0,Control Prompt,0,0.40914106369018555,2
2,18,openai,0.0,Control Prompt,1,0.4090850353240967,1
2,19,openai,0.0,Control Prompt,1,0.306365966796875,4
